[SafePPO seed=2] Ep  80 | ret -108.05 | cost 23.33 | lam  0.034 | solved 0.15 | viol 457
[SafePPO seed=2] Ep  85 | ret  -23.48 | cost 35.97 | lam  0.034 | solved 0.71 | viol 755
[SafePPO seed=2] Ep  90 | ret   -4.58 | cost 43.62 | lam  0.033 | solved 0.79 | viol 880
[SafePPO seed=2] Ep  95 | ret   -5.68 | cost 51.69 | lam  0.033 | solved 0.80 | viol 1095
[SafePPO seed=2] Ep 100 | ret   25.81 | cost 57.45 | lam  0.034 | solved 1.00 | viol 1235
[SafePPO seed=2] Ep 105 | ret   27.27 | cost 63.26 | lam  0.034 | solved 1.00 | viol 1276
[SafePPO seed=2] Ep 110 | ret   32.87 | cost 68.64 | lam  0.034 | solved 1.00 | viol 1349
[SafePPO seed=2] Ep 115 | ret   32.95 | cost 60.92 | lam  0.035 | solved 1.00 | viol 1239
[SafePPO seed=2] Ep 120 | ret   37.43 | cost 66.49 | lam  0.036 | solved 1.00 | viol 1239
[SafePPO seed=2] Ep 125 | ret   42.35 | cost 44.70 | lam  0.037 | solved 1.00 | viol 1089
[SafePPO seed=2] Ep 130 | ret   43.03 | cost 39.74 | lam  0.037 | solved 1.00 | viol 997
[SafePPO seed=2] Ep 135 | ret   44.04 | cost 42.50 | lam  0.038 | solved 1.00 | viol 1032
[SafePPO seed=2] Ep 140 | ret   44.83 | cost 37.22 | lam  0.039 | solved 1.00 | viol 1008
[SafePPO seed=2] Ep 145 | ret   42.27 | cost 35.81 | lam  0.039 | solved 1.00 | viol 961
[SafePPO seed=2] Ep 150 | ret   46.84 | cost 30.37 | lam  0.040 | solved 1.00 | viol 927
[SafePPO seed=2] done in 362.0s -> E:\DL\mountaincar-safe-rl\results\safe_ppo\seed_2
ALL_TRAINING_DONE  
